"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\hotel-frontend\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 14, 28
"d:\hotel-frontend\angular.json", "JSON", 104, 0, 0, 0, 0, 0, 0, 0, 1, 105
"d:\hotel-frontend\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 6, 2, 45
"d:\hotel-frontend\package-lock.json", "JSON", 20278, 0, 0, 0, 0, 0, 0, 0, 1, 20279
"d:\hotel-frontend\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\hotel-frontend\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"d:\hotel-frontend\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\hotel-frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\hotel-frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"d:\hotel-frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\hotel-frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"d:\hotel-frontend\src\app\booking.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\hotel-frontend\src\app\booking.service.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\hotel-frontend\src\app\booking.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"d:\hotel-frontend\src\app\booking\booking.component.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"d:\hotel-frontend\src\app\booking\booking.component.html", "HTML", 0, 0, 0, 0, 0, 0, 81, 0, 8, 89
"d:\hotel-frontend\src\app\booking\booking.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"d:\hotel-frontend\src\app\booking\booking.component.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"d:\hotel-frontend\src\app\customer-registration.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\hotel-frontend\src\app\customer-registration.service.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"d:\hotel-frontend\src\app\customer.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\hotel-frontend\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\hotel-frontend\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
"d:\hotel-frontend\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"d:\hotel-frontend\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\hotel-frontend\src\app\login\login.component.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\hotel-frontend\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 56, 0, 5, 61
"d:\hotel-frontend\src\app\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"d:\hotel-frontend\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\hotel-frontend\src\app\payment\payment.component.css", "CSS", 0, 0, 0, 0, 219, 0, 0, 0, 4, 223
"d:\hotel-frontend\src\app\payment\payment.component.html", "HTML", 0, 0, 0, 0, 0, 0, 91, 0, 9, 100
"d:\hotel-frontend\src\app\payment\payment.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"d:\hotel-frontend\src\app\payment\payment.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\hotel-frontend\src\app\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
